CURR.AGE,Last.year.of.life.men,Last.year.of.life.women,Other.years.of.life.men,Other.years.of.life.women
1,10377,11197,1663,1518
2,12497,10196,1556,1410
3,12696,12382,1424,1280
4,12410,11691,1295,1154
5,11665,10828,1173,1036
6,10634,9901,1062,931
7,9536,8936,962,841
8,8534,8001,878,767
9,7677,7167,807,711
10,6988,6506,749,671
11,6458,6035,703,671
12,6072,5757,667,671
13,5813,5662,643,671
14,5646,5732,627,671
15,5534,5915,621,671
16,5472,6202,625,671
17,5421,6557,636,671
18,5347,6943,657,671
19,5244,7349,685,671
20,5160,7797,719,671
21,5127,8316,760,671
22,5174,8941,806,671
23,5329,9711,856,671
24,5594,10637,909,671
25,5954,11694,962,671
26,6387,12844,1013,671
27,6877,14043,1061,671
28,7389,15227,1105,671
29,7894,16347,1144,671
30,8305,17215,1170,665
31,8773,18112,1205,665
32,9235,18868,1239,665
33,9717,19473,1273,665
34,10231,19955,1308,665
35,10776,20358,1342,665
36,11341,20733,1374,664
37,11928,21138,1404,664
38,12520,21614,1431,663
39,13116,22157,1455,662
40,13685,22779,1476,661
41,14216,23435,1493,660
42,14693,24118,1505,659
43,15103,24833,1513,658
44,15461,25540,1516,656
45,15840,26906,1521,672
46,16231,27502,1527,669
47,16634,28052,1531,666
48,17060,28578,1535,664
49,17520,29169,1541,662
50,18031,29861,1549,660
51,18558,30527,1562,659
52,19109,31097,1582,657
53,19691,31473,1612,655
54,20272,31650,1651,654
55,20821,31670,1693,652
56,21308,31596,1737,651
57,21686,31488,1779,649
58,21918,31287,1816,648
59,21955,30921,1848,646
60,21781,30330,1873,645
61,21390,29500,1893,643
62,20842,28532,1903,641
63,20194,27528,1904,638
64,19492,26557,1896,636
65,18763,25627,1882,634
66,18010,24731,1866,631
67,17252,23869,1850,629
68,16497,23032,1836,627
69,15748,22205,1825,625
70,15001,21369,1817,623
71,14256,20509,1811,621
72,13515,19621,1808,620
73,12780,18713,1807,619
74,12069,17810,1807,618
75,11397,16946,1809,618
76,10768,16134,1815,617
77,10175,15375,1824,618
78,9617,14667,1839,619
79,9089,14005,1860,620
80,8597,13385,1888,622
81,8142,12800,1922,625
82,7734,12255,1963,628
83,7364,11752,2011,632
84,7022,11286,2065,637
85,6711,10867,2122,642
86,6447,10521,2179,648
87,6221,10238,2234,654
88,6033,10009,2292,661
89,5886,9835,2354,668
90,5779,9713,2423,676
91,5880,9741,2465,678
92,5988,9779,2511,681
93,6104,9826,2559,684
94,6227,9881,2611,688
95,6357,9941,2665,692
96,6447,9941,2703,692
97,6540,9941,2742,692
98,6634,9941,2782,692
99,6731,9941,2822,692
100,6829,9941,2863,692
