Age,Males,Females
0,0.00275,0.00244
1,0.00023,0.00018
2,0.00013,0.00008
3,0.00012,9.00E-05
4,1.40E-04,7.00E-05
5,1.00E-04,9.00E-05
6,7.00E-05,6.00E-05
7,7.00E-05,5.00E-05
8,9.00E-05,7.00E-05
9,7.00E-05,4.00E-05
10,7.00E-05,6.00E-05
11,8.00E-05,7.00E-05
12,7.00E-05,7.00E-05
13,1.00E-04,5.00E-05
14,9.00E-05,1.30E-04
15,0.00013,1.10E-04
16,0.00021,0.00011
17,0.00016,0.00015
18,0.0003,0.00014
19,2.60E-04,0.0001
20,2.90E-04,0.00014
21,0.00034,0.00014
22,0.0003,0.00014
23,0.00037,1.40E-04
24,0.00039,0.00019
25,0.00031,0.00019
26,0.00048,0.00015
27,3.60E-04,0.00014
28,0.00049,0.00018
29,0.00055,0.00018
30,0.00046,0.00028
31,0.00053,0.00022
32,0.00049,0.00022
33,0.00052,0.00025
34,6.20E-04,0.00031
35,0.00062,0.00034
36,0.00066,0.00033
37,0.00065,0.00036
38,0.00072,0.00042
39,0.00082,0.00044
40,0.0009,0.00052
41,0.00097,0.00059
42,0.00107,0.00059
43,0.00123,0.00073
44,0.0012,0.0007
45,0.00142,0.00086
46,0.00169,0.00094
47,0.00191,0.00112
48,0.00228,0.0011
49,0.00245,0.00143
50,0.00287,0.00148
51,0.00325,0.00162
52,0.00349,0.00173
53,0.00388,0.00211
54,0.00472,0.0022
55,0.00516,0.00232
56,0.00556,0.00258
57,0.00602,0.00287
58,0.00672,0.00311
59,0.00716,0.00338
60,0.00799,0.00363
61,0.00898,0.00386
62,0.00974,0.00419
63,0.01047,0.00448
64,0.01116,0.00498
65,0.01208,0.00501
66,0.01319,0.00576
67,0.01412,0.00608
68,0.0152,0.00624
69,0.01693,0.00721
70,0.01847,0.00764
71,0.02033,0.00872
72,0.0216,0.00919
73,0.02353,0.01049
74,0.02582,0.01219
75,0.02795,0.01374
76,0.03158,0.01625
77,0.03477,0.0177
78,0.03972,0.02074
79,0.0442,0.02452
80,0.05046,0.02898
81,0.05567,0.0332
82,0.06238,0.0376
83,0.07017,0.04374
84,0.08089,0.05127
85,0.08768,0.05996
86,0.10117,0.06995
87,0.11125,0.08029
88,0.12637,0.09371
89,0.14063,0.10783
90,0.15655,0.12625
91,0.17779,0.13963
92,0.18974,0.1566
93,0.20789,0.17358
94,0.22827,0.19374
95,0.24827,0.21427
96,0.26944,0.23751
97,0.29116,0.26181
98,0.31325,0.28693
99,0.33552,0.3126
100,0.35777,0.33852
101,0.3798,0.36438
102,0.40142,0.38987
103,0.42247,0.41469
104,0.44277,0.43859
105,0.46221,0.46135
106,0.48066,0.48278
107,0.49806,0.50278
108,0.51434,0.52125
109,0.52949,0.53818
110,1,1
