CURR.AGE,BASELINE.MALE,BASELINE.FEMALE
1,0.944559983,0.92835241
2,0.944559983,0.92835241
3,0.944559983,0.92835241
4,0.944559983,0.92835241
5,0.944559983,0.92835241
6,0.944559983,0.92835241
7,0.944559983,0.92835241
8,0.944559983,0.92835241
9,0.944559983,0.92835241
10,0.944559983,0.92835241
11,0.944559983,0.92835241
12,0.944559983,0.92835241
13,0.944559983,0.92835241
14,0.944559983,0.92835241
15,0.944559983,0.92835241
16,0.944559983,0.92835241
17,0.944559983,0.92835241
18,0.944559983,0.92835241
19,0.944559983,0.92835241
20,0.944559983,0.92835241
21,0.942114674,0.92526273
22,0.939694351,0.922194238
23,0.937301762,0.91914607
24,0.934939654,0.916117359
25,0.932610775,0.913107243
26,0.930317875,0.910114855
27,0.9280637,0.907139331
28,0.925851674,0.904179728
29,0.923687916,0.901234796
30,0.9218753,0.898770612
31,0.919851422,0.89585489
32,0.91789945,0.892953062
33,0.916023191,0.890064184
34,0.914213017,0.887188917
35,0.912455977,0.884328357
36,0.910785435,0.881509521
37,0.909149236,0.878710487
38,0.907535209,0.875933021
39,0.905929288,0.873179156
40,0.904317075,0.870451077
41,0.902684364,0.867751089
42,0.901017135,0.86508162
43,0.899304473,0.86244416
44,0.897547356,0.859836074
45,0.895751192,0.857266604
46,0.893919377,0.854706044
47,0.892055626,0.852164956
48,0.890164909,0.849641186
49,0.888255103,0.847136664
50,0.886334731,0.844654443
51,0.884412147,0.842197692
52,0.882495476,0.839769689
53,0.880591931,0.837371474
54,0.878705931,0.834994848
55,0.876840847,0.832629328
56,0.874999532,0.83026444
57,0.873184271,0.827889685
58,0.871395254,0.825495205
59,0.869626077,0.823073821
60,0.867868198,0.820618911
61,0.866112414,0.818123657
62,0.864348885,0.815581003
63,0.862566302,0.812983523
64,0.860749377,0.810323115
65,0.858881431,0.807591198
66,0.856945285,0.80477875
67,0.854923301,0.801876241
68,0.852798134,0.798874251
69,0.850554927,0.795765445
70,0.848179172,0.792542431
71,0.845655996,0.789196969
72,0.84297019,0.785719859
73,0.840108615,0.78210455
74,0.837067408,0.778358282
75,0.833844843,0.774490629
76,0.830438919,0.77050957
77,0.826847446,0.766421321
78,0.82306937,0.762229894
79,0.81910869,0.757936109
80,0.814970692,0.753538389
81,0.810660742,0.749033064
82,0.80618436,0.744414471
83,0.801547001,0.739675213
84,0.7967533,0.734806759
85,0.791807781,0.72979977
86,0.786715034,0.72464482
87,0.7814796,0.719333367
88,0.776105855,0.713858971
89,0.770598007,0.708218678
90,0.764960065,0.702414724
91,0.759195991,0.696444804
92,0.753309979,0.690338289
93,0.747306909,0.684123913
94,0.741192947,0.677842636
95,0.734976281,0.671548756
96,0.729781126,0.666705697
97,0.724699018,0.662058473
98,0.71974267,0.657622824
99,0.714924798,0.653414491
100,0.710258115,0.649449213
