CURR.AGE,Cost
20,7953.414779
21,7931.056202
22,7909.449432
23,7888.472858
24,7867.998962
25,7847.984844
26,7828.742889
27,7810.682098
28,7794.221564
29,7779.764795
30,7767.701223
31,7758.410111
32,7752.26497
33,7749.638421
34,7750.868247
35,7755.929721
36,7764.409879
37,7775.847719
38,7789.796636
39,7805.820843
40,7823.491995
41,7842.385975
42,7862.039747
43,7881.88097
44,7901.312661
45,7919.720889
46,7936.451586
47,7950.831326
48,7962.174774
49,7969.799449
50,7973.326794
51,7972.689603
52,7967.836178
53,7958.71545
54,7945.275564
55,7927.548214
56,7905.905915
57,7880.816973
58,7852.815401
59,7822.458848
60,7790.30305
61,7756.901762
62,7722.806935
63,7688.568977
64,7654.737188
65,7621.901156
66,7590.74133
67,7561.949161
68,7536.212467
69,7514.211904
70,7496.615111
71,7484.067722
72,7477.140118
73,7475.695768
74,7479.001425
75,7579.302069
76,7684.960132
77,7794.905325
78,7907.975426
79,8022.94267
80,8022.94267
81,8022.94267
82,8022.94267
83,8022.94267
84,8022.94267
85,8022.94267
86,8022.94267
87,8022.94267
88,8022.94267
89,8022.94267
90,8022.94267
91,8022.94267
92,8022.94267
93,8022.94267
94,8022.94267
95,8022.94267
96,8022.94267
97,8022.94267
98,8022.94267
99,8022.94267
