CURR.AGE,Last.year.of.life.men,Last.year.of.life.women,Other.years.of.life.men,Other.years.of.life.women
0,30393,28678,4877,3887
1,19745,17975,2463,2492
2,18928,16572,2126,1713
3,19563,16438,2043,1622
4,20289,16585,2041,1587
5,20727,16801,2070,1581
6,20924,17037,2113,1605
7,21034,17317,2166,1664
8,21135,17650,2224,1756
9,21230,17994,2278,1863
10,21291,18301,2320,1970
11,21308,18527,2347,2062
12,21257,18651,2354,2128
13,21116,18715,2352,2172
14,20874,18727,2351,2211
15,20530,18721,2351,2249
16,20074,18736,2366,2299
17,19498,18806,2405,2373
18,18809,18953,2467,2473
19,18106,19216,2540,2587
20,17472,19632,2610,2709
21,16950,20247,2663,2830
22,16566,21111,2687,2944
23,16336,22242,2681,3051
24,16257,23617,2653,3155
25,16322,25190,2616,3259
26,16530,26915,2578,3366
27,16890,28701,2551,3474
28,17350,30450,2539,3579
29,17854,32040,2538,3669
30,18371,33380,2545,3735
31,18912,34412,2558,3772
32,19495,35098,2575,3776
33,20145,35462,2596,3749
34,20867,35610,2618,3696
35,21648,35648,2639,3624
36,22467,35658,2659,3537
37,23307,35718,2675,3443
38,24156,35887,2690,3350
39,25017,36195,2704,3265
40,25894,36658,2721,3196
41,26803,37330,2743,3151
42,27772,38284,2773,3139
43,28829,39524,2813,3157
44,29988,40980,2860,3199
45,31270,42556,2914,3256
46,32688,44235,2974,3324
47,34260,46049,3039,3398
48,35987,48087,3109,3475
49,37838,50377,3182,3553
50,39661,52649,3256,3629
51,41364,54662,3330,3700
52,42879,56167,3404,3765
53,44207,57126,3479,3823
54,45368,57661,3555,3877
55,46415,57961,3637,3930
56,47391,58191,3725,3986
57,48266,58305,3823,4047
58,48963,58184,3930,4115
59,49376,57698,4044,4189
60,49476,56846,4162,4270
61,49391,55866,4284,4359
62,49273,55003,4409,4459
63,49176,54352,4537,4573
64,49099,53873,4671,4700
65,48985,53429,4813,4842
66,48789,52900,4965,4997
67,48484,52204,5128,5164
68,48088,51371,5308,5349
69,47640,50487,5509,5560
70,47150,49641,5735,5806
71,46635,48906,5992,6097
72,46142,48330,6283,6442
73,45720,47946,6614,6848
74,45399,47769,6985,7319
75,45133,47776,7394,7859
76,44826,47925,7837,8471
77,44396,48171,8308,9159
78,43832,48537,8811,9937
79,43271,49095,9366,10833
80,42837,49888,10001,11876
81,42670,50970,10744,13092
82,42798,52376,11620,14507
83,43113,53988,12628,16113
84,43529,55665,13741,17861
85,44050,57412,14917,19694
86,44628,59126,16133,21565
87,45297,60766,17390,23446
88,46187,62452,18733,25367
89,47400,64292,20212,27370
90,48955,66337,21856,29482
91,50820,68586,23686,31728
92,52899,70962,25706,34117
93,54985,73274,27881,36631
94,56923,75411,30222,39327
95,58646,77420,32763,42289
96,59869,78961,35729,45802
97,56284,74349,36626,46840
98,52408,68945,38122,48292
99,48387,62903,40524,50304
