CURR.AGE,BASELINE.MALE,BASELINE.FEMALE
1,0.913575776,0.92873097
2,0.913575776,0.92873097
3,0.913575776,0.92873097
4,0.913575776,0.92873097
5,0.913575776,0.92873097
6,0.913575776,0.92873097
7,0.913575776,0.92873097
8,0.913575776,0.92873097
9,0.913575776,0.92873097
10,0.913575776,0.92873097
11,0.913575776,0.92873097
12,0.913575776,0.92873097
13,0.913575776,0.92873097
14,0.913575776,0.92873097
15,0.913575776,0.92873097
16,0.913575776,0.92873097
17,0.913575776,0.92873097
18,0.913575776,0.92873097
19,0.913575776,0.92873097
20,0.913575776,0.92873097
21,0.910087866,0.924866907
22,0.906605031,0.921002156
23,0.903128725,0.91713772
24,0.899660401,0.913274602
25,0.896201511,0.909413803
26,0.892753507,0.905556327
27,0.889317844,0.901703176
28,0.885895987,0.897855446
29,0.88248946,0.894014602
30,0.879157146,0.890317148
31,0.875797572,0.886506579
32,0.872459996,0.882708805
33,0.869146173,0.878925042
34,0.865857604,0.875154663
35,0.862595745,0.871396585
36,0.859430961,0.867687897
37,0.856306448,0.863994529
38,0.853225152,0.860316055
39,0.850188795,0.856651272
40,0.847198946,0.852967366
41,0.844267453,0.849331854
42,0.841387591,0.845707304
43,0.838561049,0.842093189
44,0.835787172,0.838490167
45,0.833064816,0.834899321
46,0.830392964,0.831321904
47,0.827770684,0.827759352
48,0.825197542,0.824213069
49,0.822674898,0.82068382
50,0.82020453,0.817172344
51,0.817788152,0.81367954
52,0.815427378,0.810206475
53,0.813122087,0.806753977
54,0.810865626,0.803321471
55,0.808649549,0.799908117
56,0.806465204,0.796513183
57,0.804303704,0.79313603
58,0.802156773,0.789775529
59,0.800019253,0.786428378
60,0.797886598,0.78309073
61,0.795754038,0.779758726
62,0.7936166,0.776428452
63,0.791469975,0.773096654
64,0.789313118,0.769762951
65,0.787145683,0.76642753
66,0.784967223,0.76309034
67,0.78277722,0.759751029
68,0.780575863,0.756410246
69,0.778366365,0.75307362
70,0.776152755,0.749747642
71,0.773939131,0.746438224
72,0.77172973,0.743150645
73,0.76953025,0.739890401
74,0.767351609,0.736666008
75,0.76520643,0.73348612
76,0.763107893,0.730358571
77,0.761069959,0.727290442
78,0.759107129,0.724287629
79,0.757233136,0.72135361
80,0.753960725,0.722917842
81,0.750603445,0.719249142
82,0.74715287,0.715538866
83,0.743600097,0.711774762
84,0.739936279,0.707944169
85,0.736152554,0.704034251
86,0.732240187,0.700032434
87,0.728190944,0.69592714
88,0.723997404,0.691708594
89,0.719653372,0.687369733
90,0.715154236,0.6829072
91,0.710497398,0.678322473
92,0.705682712,0.67362298
93,0.700712836,0.668823247
94,0.695593627,0.663946023
95,0.690334486,0.659023364
96,0.685601721,0.654349192
97,0.680969495,0.649800985
98,0.676445693,0.645386886
99,0.672038199,0.64111504
100,0.667754898,0.636993588
